"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"Stage 1: Electrical Fundamentals & Wiring","1","Electrical Fundamentals (AC/DC)","1","Title Slide - Electrical Fundamentals (AC/DC)","Analyze core parameters and hardware metrics for Electrical Fundamentals (AC/DC)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Electrical Fundamentals (AC/DC)."
"","1","Electrical Fundamentals (AC/DC)","2","Fundamental Principles & Physics","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","1","Electrical Fundamentals (AC/DC)","3","Sizing Calculations & Formulae","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","1","Electrical Fundamentals (AC/DC)","4","Hardware Component Specifications","Analyze core parameters and hardware metrics for Electrical Fundamentals (AC/DC)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Hardware Component Specifications."
"","1","Electrical Fundamentals (AC/DC)","5","Interface Connections & Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","1","Electrical Fundamentals (AC/DC)","6","Electrical Safety & PPE Standards","Analyze core parameters and hardware metrics for Electrical Fundamentals (AC/DC)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Electrical Safety & PPE Standards."
"","1","Electrical Fundamentals (AC/DC)","7","Breakers, Protection & Fuses","Analyze core parameters and hardware metrics for Electrical Fundamentals (AC/DC)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Breakers, Protection & Fuses."
"","1","Electrical Fundamentals (AC/DC)","8","Installation & Mounting Rules","Analyze core parameters and hardware metrics for Electrical Fundamentals (AC/DC)."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Installation & Mounting Rules."
"","1","Electrical Fundamentals (AC/DC)","9","Troubleshooting Common Electrical Faults","Identifying fault loop pathways using multimeter diagnostic tests."
"","","","","","Resolving IP conflicts and packet dropouts in network lines."
"","","","","","Diagnosing video noise, ground loops, and signal latency bugs."
"","1","Electrical Fundamentals (AC/DC)","10","Practical Lab: Wiring & Measurement","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","2","Earthing & Lightning Protection","1","Title Slide - Earthing & Lightning Protection","Analyze core parameters and hardware metrics for Earthing & Lightning Protection."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Earthing & Lightning Protection."
"","2","Earthing & Lightning Protection","2","Fundamental Principles & Physics","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","2","Earthing & Lightning Protection","3","Sizing Calculations & Formulae","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","2","Earthing & Lightning Protection","4","Hardware Component Specifications","Analyze core parameters and hardware metrics for Earthing & Lightning Protection."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Hardware Component Specifications."
"","2","Earthing & Lightning Protection","5","Interface Connections & Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","2","Earthing & Lightning Protection","6","Electrical Safety & PPE Standards","Analyze core parameters and hardware metrics for Earthing & Lightning Protection."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Electrical Safety & PPE Standards."
"","2","Earthing & Lightning Protection","7","Breakers, Protection & Fuses","Analyze core parameters and hardware metrics for Earthing & Lightning Protection."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Breakers, Protection & Fuses."
"","2","Earthing & Lightning Protection","8","Installation & Mounting Rules","Analyze core parameters and hardware metrics for Earthing & Lightning Protection."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Installation & Mounting Rules."
"","2","Earthing & Lightning Protection","9","Troubleshooting Common Electrical Faults","Identifying fault loop pathways using multimeter diagnostic tests."
"","","","","","Resolving IP conflicts and packet dropouts in network lines."
"","","","","","Diagnosing video noise, ground loops, and signal latency bugs."
"","2","Earthing & Lightning Protection","10","Practical Lab: Wiring & Measurement","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","3","Multimeter Practical","1","Title Slide - Multimeter Practical","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Multimeter Practical."
"","3","Multimeter Practical","2","Introduction to Multimeter Hardware","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Introduction to Multimeter Hardware."
"","3","Multimeter Practical","3","Dial Symbols & Measurement Modes","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Dial Symbols & Measurement Modes."
"","3","Multimeter Practical","4","Lead Port Connections & Safety","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Lead Port Connections & Safety."
"","3","Multimeter Practical","5","Measuring AC/DC Voltage Safely","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Measuring AC/DC Voltage Safely."
"","3","Multimeter Practical","6","Resistance & Continuity Testing","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Resistance & Continuity Testing."
"","3","Multimeter Practical","7","Current Measurement & Fuse Limits","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Current Measurement & Fuse Limits."
"","3","Multimeter Practical","8","Diagnostic: Socket Outlet Audits","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnostic: Socket Outlet Audits."
"","3","Multimeter Practical","9","Diagnostic: Loop Resistance Audits","Analyze core parameters and hardware metrics for Multimeter Practical."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnostic: Loop Resistance Audits."
"","3","Multimeter Practical","10","Practical Lab: Multimeter Exercises","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","4","Electrical Safety & PPE","1","Title Slide - Electrical Safety & PPE","Analyze core parameters and hardware metrics for Electrical Safety & PPE."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Electrical Safety & PPE."
"","4","Electrical Safety & PPE","2","Fundamental Principles & Physics","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","4","Electrical Safety & PPE","3","Sizing Calculations & Formulae","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","4","Electrical Safety & PPE","4","Hardware Component Specifications","Analyze core parameters and hardware metrics for Electrical Safety & PPE."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Hardware Component Specifications."
"","4","Electrical Safety & PPE","5","Interface Connections & Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","4","Electrical Safety & PPE","6","Electrical Safety & PPE Standards","Analyze core parameters and hardware metrics for Electrical Safety & PPE."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Electrical Safety & PPE Standards."
"","4","Electrical Safety & PPE","7","Breakers, Protection & Fuses","Analyze core parameters and hardware metrics for Electrical Safety & PPE."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Breakers, Protection & Fuses."
"","4","Electrical Safety & PPE","8","Installation & Mounting Rules","Analyze core parameters and hardware metrics for Electrical Safety & PPE."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Installation & Mounting Rules."
"","4","Electrical Safety & PPE","9","Troubleshooting Common Electrical Faults","Identifying fault loop pathways using multimeter diagnostic tests."
"","","","","","Resolving IP conflicts and packet dropouts in network lines."
"","","","","","Diagnosing video noise, ground loops, and signal latency bugs."
"","4","Electrical Safety & PPE","10","Practical Lab: Wiring & Measurement","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","5","Power Supply & SMPS","1","Title Slide - Power Supply & SMPS","Analyze core parameters and hardware metrics for Power Supply & SMPS."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Power Supply & SMPS."
"","5","Power Supply & SMPS","2","Fundamental Principles & Physics","Understanding core physical parameters and technology dynamics."
"","","","","","Analyzing baseline math models and operational thresholds."
"","","","","","Evaluating hardware specifications for system compliance."
"","5","Power Supply & SMPS","3","Sizing Calculations & Formulae","Sizing electrical power loads and backup battery runtimes."
"","","","","","Calculating voltage drop along long-distance cable runs."
"","","","","","Using specialized design software to compile bill of materials."
"","5","Power Supply & SMPS","4","Hardware Component Specifications","Analyze core parameters and hardware metrics for Power Supply & SMPS."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Hardware Component Specifications."
"","5","Power Supply & SMPS","5","Interface Connections & Wiring","Connecting line interfaces securely matching wiring diagrams."
"","","","","","Configuring signal relay profiles (Wet vs Dry contacts)."
"","","","","","Applying proper ferruling and cable identification tags."
"","5","Power Supply & SMPS","6","Electrical Safety & PPE Standards","Analyze core parameters and hardware metrics for Power Supply & SMPS."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Electrical Safety & PPE Standards."
"","5","Power Supply & SMPS","7","Breakers, Protection & Fuses","Analyze core parameters and hardware metrics for Power Supply & SMPS."
